Year,date,season,Sky_condition_code,Building code,Building,Façade,Feather Friendly?,Survey start time ,Survey end time (by building),Surveyor,Evidence_found,Type_of_Collision,collision.type.category,ground_or_window, #_of_feathers,Carcass ID,Species ,description of evidence,Feather Description,Additional notes,Blinds (Open/Closed)
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA1,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,14,,,in bushes by the window,,ccpa-F1A-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA1,NO,10:30,11:06,"FY, KS",1,fp,Feather pile,g,,,,small window pane,,ccpa-F1B-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA3,NO,10:30,11:06,"FY, KS",0,,,,,,,,,,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA4,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,,,,On window/door the size of a penny,,ccpa-F4A-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA4,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,,,,Small feather on window,,ccpa-F4B-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA4,NO,10:30,11:06,"FY, KS",1,fs,Feather pile,g,17,,,Father pile along building scattered,,ccpa-F4C-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA5,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,,,,feather smear on window size of a golfball,,ccpa-F5A-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA5,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,,,,second level size of a penny,,,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA5,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,,,,small feather size of a penny,,ccpa-F5C-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA5,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,,,,Smear on second level pane size of a quarter,,ccpa-F5D-05FEB2025,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA5,NO,10:30,11:06,"FY, KS",1,fp,feather pile,g,20,,,Pile about a meter off the window,,ccpa-F5B-05FEB2024,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA5,NO,10:30,11:06,"FY, KS",1,fs,Feather Smear,w,,,,Small feather stuck to window,,,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA8,NO,10:30,11:06,"FY, KS",0,,,,,,,,,,
2024,05/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA12,NO,10:30,11:06,"FY, KS",0,,,,,,,,,,
2024,08/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA1,NO,10:20,11:08,"RL, MZ",0,,,,,,,,,,
2024,08/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA3,NO,10:20,11:08,"RL, MZ",0,,,,,,,,,,
2024,08/02/2024,winter,2,Chan Centre for Performing Arts,CCPA,CCPA4,NO,10:20,11:08,"RL, MZ",0,,,,,,,,,,
